image,label,label_idx,confidence,pred,pred_idx,pred_confidence,correct
ISIC_0032831,NV,1,0.000965853629168123,MEL,0,0.9809924960136414,0
ISIC_0032726,MEL,0,0.0025618551298975945,BKL,4,0.988680362701416,0
ISIC_0025302,DF,5,0.004191609099507332,NV,1,0.9916926622390747,0
ISIC_0027573,MEL,0,0.00463740574195981,BKL,4,0.9694175124168396,0
ISIC_0027350,MEL,0,0.005988419987261295,NV,1,0.932217001914978,0
ISIC_0029843,MEL,0,0.007823972962796688,NV,1,0.9739446640014648,0
ISIC_0031745,MEL,0,0.00832788459956646,NV,1,0.9796905517578125,0
ISIC_0029397,MEL,0,0.010486888699233532,NV,1,0.9451413750648499,0
ISIC_0032420,MEL,0,0.010614123195409775,BKL,4,0.983361542224884,0
ISIC_0029480,MEL,0,0.012233013287186623,NV,1,0.9409470558166504,0
ISIC_0032497,BCC,2,0.013661966659128666,BKL,4,0.501629114151001,0
ISIC_0028069,MEL,0,0.014039353467524052,NV,1,0.9544679522514343,0
ISIC_0026404,NV,1,0.015155257657170296,BKL,4,0.8876469135284424,0
ISIC_0029360,AKIEC,3,0.015539373271167278,VASC,6,0.7633005976676941,0
ISIC_0025891,MEL,0,0.015650371089577675,NV,1,0.940375566482544,0
ISIC_0032232,MEL,0,0.015874091535806656,NV,1,0.9439769983291626,0
ISIC_0025783,MEL,0,0.016380369663238525,NV,1,0.9516682028770447,0
ISIC_0025489,MEL,0,0.017126895487308502,NV,1,0.9343764781951904,0
ISIC_0025313,MEL,0,0.018593812361359596,NV,1,0.9504151940345764,0
ISIC_0029715,AKIEC,3,0.018702318891882896,NV,1,0.913842499256134,0
ISIC_0029859,MEL,0,0.019191645085811615,NV,1,0.9459595084190369,0
ISIC_0033811,AKIEC,3,0.019354544579982758,BKL,4,0.8687193989753723,0
ISIC_0026094,MEL,0,0.019685272127389908,NV,1,0.9733102917671204,0
ISIC_0029937,MEL,0,0.019777478650212288,NV,1,0.8302716612815857,0
ISIC_0027793,MEL,0,0.01986776292324066,NV,1,0.8646191954612732,0
ISIC_0028878,MEL,0,0.020688695833086967,BKL,4,0.5894588232040405,0
ISIC_0030047,MEL,0,0.02081475406885147,NV,1,0.9004157185554504,0
ISIC_0025940,BCC,2,0.02102786861360073,AKIEC,3,0.9211059808731079,0
ISIC_0030700,BKL,4,0.021904459223151207,AKIEC,3,0.4877152144908905,0
ISIC_0032982,MEL,0,0.02401532232761383,NV,1,0.8953924775123596,0
ISIC_0028132,AKIEC,3,0.02582605369389057,BCC,2,0.9162111878395081,0
ISIC_0031593,BKL,4,0.026407774537801743,MEL,0,0.3341444432735443,0
ISIC_0030616,MEL,0,0.027002999559044838,BKL,4,0.6586189866065979,0
ISIC_0029017,MEL,0,0.027254534885287285,NV,1,0.9110318422317505,0
ISIC_0027561,MEL,0,0.02731800451874733,BKL,4,0.8563154935836792,0
ISIC_0025008,NV,1,0.027842335402965546,MEL,0,0.9149685502052307,0
ISIC_0031707,BKL,4,0.02824004553258419,MEL,0,0.5721743702888489,0
ISIC_0024646,AKIEC,3,0.028410425409674644,BKL,4,0.9499489665031433,0
ISIC_0025238,MEL,0,0.029225096106529236,NV,1,0.9415645003318787,0
ISIC_0028335,AKIEC,3,0.029354771599173546,MEL,0,0.4898959994316101,0
ISIC_0030129,MEL,0,0.030599333345890045,NV,1,0.8718327283859253,0
ISIC_0025851,BKL,4,0.031299058347940445,NV,1,0.9007835388183594,0
ISIC_0031565,MEL,0,0.03130890801548958,NV,1,0.6739040017127991,0
ISIC_0024323,MEL,0,0.03217105194926262,NV,1,0.9274225234985352,0
ISIC_0033804,MEL,0,0.03239602968096733,NV,1,0.89649897813797,0
ISIC_0031712,BCC,2,0.03248095512390137,NV,1,0.9284400343894958,0
ISIC_0025791,MEL,0,0.03344522416591644,NV,1,0.8336145281791687,0
ISIC_0030564,MEL,0,0.033545877784490585,BKL,4,0.6746974587440491,0
ISIC_0027767,AKIEC,3,0.033647507429122925,MEL,0,0.4851178824901581,0
ISIC_0025592,MEL,0,0.03444274514913559,NV,1,0.926881730556488,0
ISIC_0027710,BKL,4,0.03461098670959473,NV,1,0.9248701333999634,0
ISIC_0027302,MEL,0,0.03586165979504585,NV,1,0.8527339100837708,0
ISIC_0029281,MEL,0,0.03596986085176468,NV,1,0.902777373790741,0
ISIC_0028847,MEL,0,0.0372837595641613,NV,1,0.946451723575592,0
ISIC_0026395,BCC,2,0.03819919005036354,NV,1,0.8252569437026978,0
ISIC_0030603,NV,1,0.038433562964200974,BKL,4,0.8236850500106812,0
ISIC_0030080,MEL,0,0.03886094316840172,NV,1,0.792772114276886,0
ISIC_0033232,MEL,0,0.03893100097775459,NV,1,0.9428329467773438,0
ISIC_0027190,MEL,0,0.039632827043533325,NV,1,0.8211431503295898,0
ISIC_0026930,MEL,0,0.03968648985028267,NV,1,0.8681650161743164,0
ISIC_0033016,NV,1,0.04062965512275696,MEL,0,0.8250011205673218,0
ISIC_0025450,MEL,0,0.04170956090092659,NV,1,0.9412351846694946,0
ISIC_0024898,MEL,0,0.042148999869823456,NV,1,0.8735089898109436,0
ISIC_0032203,AKIEC,3,0.042469289153814316,BCC,2,0.8146938681602478,0
ISIC_0031550,MEL,0,0.04285923391580582,NV,1,0.713330090045929,0
ISIC_0033496,MEL,0,0.04362143203616142,NV,1,0.9280495047569275,0
ISIC_0032653,MEL,0,0.043840762227773666,NV,1,0.9464859962463379,0
ISIC_0026607,BKL,4,0.04391421377658844,NV,1,0.415399432182312,0
ISIC_0028969,MEL,0,0.04398379474878311,BKL,4,0.7184006571769714,0
ISIC_0026466,AKIEC,3,0.045458655804395676,NV,1,0.9154367446899414,0
ISIC_0024772,BKL,4,0.04547907039523125,NV,1,0.7639930248260498,0
ISIC_0027139,BKL,4,0.04770014062523842,NV,1,0.8550060391426086,0
ISIC_0024459,MEL,0,0.04787885770201683,BKL,4,0.5345086455345154,0
ISIC_0031529,MEL,0,0.04809019714593887,NV,1,0.8569175004959106,0
ISIC_0030382,MEL,0,0.04871341213583946,BKL,4,0.5687025785446167,0
ISIC_0031795,MEL,0,0.04873140901327133,NV,1,0.8858064413070679,0
ISIC_0024313,MEL,0,0.04881713166832924,NV,1,0.8758518695831299,0
ISIC_0024612,BKL,4,0.04912722483277321,NV,1,0.5534416437149048,0
ISIC_0029582,AKIEC,3,0.05060567334294319,NV,1,0.9027284979820251,0
ISIC_0030238,MEL,0,0.05101022124290466,NV,1,0.8591564893722534,0
ISIC_0033368,MEL,0,0.051720235496759415,NV,1,0.9015353322029114,0
ISIC_0032046,MEL,0,0.05183834210038185,BKL,4,0.481034517288208,0
ISIC_0026362,AKIEC,3,0.052381761372089386,MEL,0,0.40384218096733093,0
ISIC_0026206,AKIEC,3,0.0524185448884964,NV,1,0.906964123249054,0
ISIC_0027144,MEL,0,0.05258866772055626,NV,1,0.8700665831565857,0
ISIC_0031597,BCC,2,0.05266660824418068,NV,1,0.8835052251815796,0
ISIC_0028952,BKL,4,0.052687037736177444,BCC,2,0.8336318731307983,0
ISIC_0032718,MEL,0,0.05295558646321297,BKL,4,0.7041219472885132,0
ISIC_0031177,MEL,0,0.05297262594103813,NV,1,0.8929479718208313,0
ISIC_0030951,MEL,0,0.053177107125520706,NV,1,0.4862103760242462,0
ISIC_0025195,MEL,0,0.05406176671385765,NV,1,0.8978278636932373,0
ISIC_0026153,BKL,4,0.05450714752078056,NV,1,0.9134682416915894,0
ISIC_0030175,AKIEC,3,0.05497978627681732,MEL,0,0.7105073928833008,0
ISIC_0033196,MEL,0,0.05524704232811928,NV,1,0.9163051843643188,0
ISIC_0027420,MEL,0,0.0556412898004055,NV,1,0.8381533026695251,0
ISIC_0029915,AKIEC,3,0.056930843740701675,NV,1,0.7640855312347412,0
ISIC_0028065,MEL,0,0.057401206344366074,NV,1,0.8566659092903137,0
ISIC_0027216,DF,5,0.058517664670944214,NV,1,0.8918843865394592,0
ISIC_0027956,MEL,0,0.05892820656299591,NV,1,0.901489794254303,0
ISIC_0033863,MEL,0,0.05922641605138779,NV,1,0.91094970703125,0
ISIC_0028051,MEL,0,0.059233158826828,NV,1,0.9211004972457886,0
ISIC_0031844,MEL,0,0.06032351404428482,BKL,4,0.5280444025993347,0
ISIC_0025543,MEL,0,0.060800738632678986,BKL,4,0.7995623350143433,0
